,Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price
124,Acer,Notebook,15.6,1366x768,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,2.1,45100
125,HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,No OS,1.86,25900
126,HP,Notebook,14.0,1920x1080,Intel Core i5,8,1TB HDD,Intel UHD,Windows,1.63,81200
127,Asus,Notebook,14.0,1366x768,AMD E Series,4,64GB SSD,AMD Radeon,Windows,1.65,27799
128,Dell,Notebook,17.3,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows,2.8,139600
129,HP,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,2.5,92800
130,Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon,Windows,2.36,63899
131,Dell,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.2,44900
132,Acer,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.6,88400
133,Acer,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows,2.2,57200
134,HP,Notebook,15.6,1366x768,Intel Core i7,8,1TB HDD,Intel HD,Windows,2.05,59800
135,HP,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.63,98800
136,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,No OS,1.9,25236
137,Asus,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.0,93800
138,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,49900
139,HP,Notebook,13.3,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.32,69900
140,Acer,Notebook,17.3,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,3.0,65500
141,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,1.75,111602
142,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,No OS,2.4,86900
143,Toshiba,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.1,60200
144,HP,Notebook,15.6,1366x768,AMD A6 Series,4,256GB SSD,AMD Radeon,Windows,1.86,36900
145,Asus,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.25,109900
146,HP,Ultrabook,12.5,3840x2160,Intel Core M,8,512GB SSD,Intel HD,Windows,0.97,201400
147,Asus,Notebook,15.6,1920x1080,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2.0,34400
148,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,202900
149,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.1,44700
150,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.56,124926
151,Dell,Gaming,15.6,1920x1080,Intel Core i7,8,1TB Hybrid,Nvidia GeForce,Windows,2.62,89900
152,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.9,49800
153,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.8,189000
154,HP,Ultrabook,14.0,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.48,108200
155,HP,Notebook,15.6,1920x1080,Intel Core i5,6,256GB SSD,AMD Radeon,Windows,1.91,61900
156,Lenovo,2 in 1 Convertible,14.0,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Windows,1.74,62900
157,Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.1,131500
158,Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.56,104900
159,Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.1,44700
160,Asus,Notebook,15.6,1366x768,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,2.03,40300
161,Acer,Notebook,17.3,1920x1080,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows,3.0,80500
162,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.13,72800
163,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,2.5,107900
164,Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2.1,34800
165,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.4,179900
166,Acer,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,Windows,2.1,36351
167,Dell,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.56,106049
168,Acer,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,3.0,85400
169,HP,Notebook,13.3,1920x1080,Intel Core i5,4,500GB HDD,Intel UHD,Windows,1.49,75400
170,Huawei,Ultrabook,13.0,2160x1440,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.05,134900
171,HP,Notebook,17.3,1920x1080,Intel Core i5,6,2TB HDD,AMD Radeon,Windows,2.71,69900
172,Lenovo,Notebook,15.6,1366x768,AMD A6 Series,4,500GB HDD,AMD Radeon,No OS,2.2,30900
173,Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.0,48900
174,HP,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.5,92300
175,Dell,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.3,45900
176,Acer,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,44900
177,MSI,Gaming,18.4,1920x1080,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GTX,Windows,4.4,279900
178,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows,1.9,81300
179,HP,2 in 1 Convertible,13.3,3840x2160,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.29,149900
180,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Linux,2.02,104900
181,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.23,139900
182,Lenovo,2 in 1 Convertible,13.9,3840x2160,Intel Core i7,16,512GB SSD,Intel UHD,Windows,1.4,184900
183,Toshiba,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows,2.0,79300
184,Xiaomi,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,1.95,119900
185,Dell,Notebook,17.3,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.77,154900
186,Dell,Notebook,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.06,239700
187,Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.4,77900
188,Acer,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.12,98900
189,Dell,Notebook,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.8,108500
190,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i7,16,1TB SSD,Intel HD,Windows,1.42,282400
191,Vero,Notebook,14.0,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.3,26000
192,Xiaomi,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,1.3,99990
193,Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.8,69800
194,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,1TB HDD,Intel UHD,Windows,1.62,83900
195,HP,Notebook,17.3,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.5,91400
196,HP,Notebook,13.3,1920x1080,Intel Core i5,8,512GB SSD,Intel UHD,Windows,1.49,95900
197,HP,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.35,137900
198,HP,Notebook,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.5,104500
199,Dell,Gaming,15.6,3840x2160,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.65,184500
200,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,2.1,49300
201,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.23,74200
202,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.2,174900
203,Dell,Workstation,15.6,3840x2160,Intel Xeon E3,16,256GB SSD +  1TB HDD,Nvidia Quadro,Windows,2.8,305500
204,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,No OS,2.4,139800
205,Dell,Notebook,15.6,1366x768,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.3,43900
206,Dell,Ultrabook,13.3,3840x2160,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.21,194900
207,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.2,144900
208,Lenovo,Notebook,15.6,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.2,59700
209,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,77900
210,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,140700
211,HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.1,34900
212,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,No OS,2.2,54900
213,Huawei,Ultrabook,13.0,2160x1440,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.05,149900
214,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,1.4,93188
215,Lenovo,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,Nvidia GeForce,No OS,2.8,58900
216,HP,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.63,103100
217,Dell,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.6,114900
218,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel UHD,Windows,1.62,127900
219,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Linux,2.2,67735
220,Lenovo,2 in 1 Convertible,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.74,89900
221,Toshiba,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.2,136300
222,HP,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel UHD,Windows,2.1,79400
223,Dell,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,245634
224,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.2,83200
225,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,1TB HDD,AMD Radeon,Windows,2.3,85901
226,Asus,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.0,76900
227,Asus,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD +  500GB HDD,Nvidia GeForce,Windows,2.69,89100
228,HP,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,AMD FirePro,Windows,1.9,126900
229,Asus,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.37,39899
230,HP,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2.1,33000
231,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.2,149900
232,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,85900
233,Acer,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,68900
