Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price,Sales
Lenovo,Notebook,15.6,1920x1080,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,2.2,39900,18442
HP,Notebook,15.6,1920x1080,AMD A9 Series,6,1TB Hybrid,AMD Radeon,Windows,2.04,54999,16916
HP,Ultrabook,15.6,1920x1080,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,1.91,49900,28215
HP,Notebook,15.6,1920x1080,AMD A9 Series,6,256GB SSD,AMD Radeon,Windows,1.95,64900,19237
HP,Notebook,15.6,1920x1080,AMD A9 Series,6,1TB Hybrid,AMD Radeon,Windows,2.04,54999,32069
Asus,Notebook,15.6,1366x768,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,1.68,46900,15908
HP,Notebook,15.6,1920x1080,AMD A9 Series,6,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.1,65000,17628
Acer,Notebook,15.6,1366x768,AMD A9 Series,4,500GB HDD,AMD Radeon,Windows,2.1,40000,25445
Asus,Notebook,15.6,1366x768,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,2.03,40300,13878
HP,Notebook,15.6,1920x1080,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,2.1,48900,29877
Acer,Notebook,15.6,1366x768,AMD A9 Series,6,1TB HDD,AMD Radeon,Windows,2.1,40900,11798
Acer,Notebook,15.6,1366x768,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,2.1,45100,22726
Acer,Notebook,15.6,1366x768,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,2.1,39500,15894
HP,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,1.86,29700,37360
Asus,Notebook,14,1366x768,AMD E Series,2,32GB Flash Storage,AMD Radeon,Windows,1.65,19900,16511
HP,Notebook,15.6,1920x1080,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2.1,34900,38640
HP,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,No OS,1.86,25800,33117
Asus,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2,34900,17833
Asus,Notebook,14,1366x768,AMD E Series,4,64GB SSD,AMD Radeon,Windows,1.65,27799,18762
Lenovo,Notebook,15.6,1366x768,AMD E Series,4,128GB SSD,AMD Radeon,Windows,2.2,34900,20713
HP,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2.1,33000,12546
Lenovo,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2.2,29900,21067
Lenovo,Gaming,15.6,1920x1080,AMD FX 8800P,16,512GB SSD +  1TB HDD,AMD Radeon,Windows,2.5,99900,35412
Asus,Gaming,15.6,1920x1080,AMD FX 9830P,8,1TB HDD,AMD Radeon,Windows,2.45,69900,21738
Asus,Gaming,17.3,1920x1080,AMD Ryzen 1600,8,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.2,169500,21626
Asus,Gaming,17.3,1920x1080,AMD Ryzen 1700,8,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.2,129900,38760
Asus,Gaming,17.3,1920x1080,AMD Ryzen 1700,16,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.25,219900,23532
Asus,Gaming,17.3,1920x1080,AMD Ryzen 1700,16,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.2,154900,38687
Vero,Notebook,13.3,1920x1080,Intel Atom X5,4,32GB Flash Storage,Intel HD,Windows,1.35,19600,32167
Vero,Notebook,14,1366x768,Intel Atom X5,2,32GB Flash Storage,Intel HD,Windows,1.45,21080,12496
Mediacom,Notebook,14,1920x1200,Intel Atom Z8350,4,32GB HDD,Intel HD,Windows,1.4,26500,26509
Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Android,0.69,54900,24772
Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,0.69,64627,25213
Chuwi,Notebook,15.6,1920x1080,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,1.89,24499,18509
Chuwi,Notebook,15.6,1920x1080,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,1.89,24890,23800
Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,0.69,47900,11984
Mediacom,Notebook,14,1920x1080,Intel Atom x5,4,32GB SSD,Intel HD,Windows,1.4,24900,26603
Mediacom,Notebook,13.3,1920x1080,Intel Atom x5,4,32GB Flash Storage,Intel HD,Windows,1.35,25500,21354
Mediacom,Notebook,14,1920x1080,Intel Atom x5,2,32GB Flash Storage,Intel HD,Windows,1.4,23900,26307
Asus,Netbook,11.6,1366x768,Intel Atom x5,2,32GB Flash Storage,Intel HD,Windows,0.98,19190,29407
Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Android,0.69,31900,14700
Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.35,35500,34720
Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,Windows,1.4,43500,11111
Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,29700,13795
Acer,Notebook,15.6,1920x1080,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,2.2,35900,12831
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,29900,10267
HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,No OS,1.86,29900,13646
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,No OS,2.2,32199,12461
Asus,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.2,28790,9345
HP,Netbook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.17,20900,12943
HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,34700,11890
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2,33900,10994
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.2,36900,9673
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.2,36900,12944
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.42,24900,13425
HP,Notebook,14,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.44,24900,9541
Acer,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,38900,13856
HP,Netbook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.17,20900,10818
Mediacom,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual,4,32GB SSD,Intel HD,Windows,1.16,29900,9816
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Linux,2.1,27200,10853
Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.4,26900,9374
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2.2,30600,12192
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2.4,28900,11595
Vero,Notebook,14,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.22,20290,9849
Vero,Notebook,14,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.3,26000,9304
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,2,16GB SSD,Intel HD,Chrome OS,2.19,19900,11168
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2.1,34800,12256
Asus,Netbook,11.6,1366x768,Intel Celeron Dual,4,64GB Flash Storage,Intel HD,Windows,1.2,34000,11869
Acer,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.45,37500,12144
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,16GB SSD,Intel HD,Chrome OS,2.2,20900,9682
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,33300,9342
Asus,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.63,29900,13773
Acer,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.25,34900,12416
Acer,Netbook,11.6,1366x768,Intel Celeron Dual,2,32GB SSD,Intel HD,Chrome OS,1.3,17400,13655
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2.4,28900,13425
Acer,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2.4,28900,10223
Acer,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.68,34900,9977
Samsung,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.15,26900,11497
Acer,Notebook,14,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Chrome OS,1.68,33000,10845
HP,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,8,64GB Flash Storage,Intel HD,Chrome OS,1.4,49500,9781
HP,Netbook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.17,20900,11628
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.2,36900,13284
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,4,64GB Flash Storage,Intel HD,Windows,1.44,24900,13182
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,8,1TB HDD,Intel HD,Windows,2,39900,13753
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2,22400,10693
Dell,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,1.8,30900,13737
HP,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.23,38500,12794
Asus,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.1,27500,10505
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,Linux,2,27499,9969
Asus,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,37500,10237
HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,No OS,1.86,28890,11616
HP,Notebook,14,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.44,27900,11986
HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,No OS,1.86,25900,11885
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.1,31800,9496
Asus,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,28600,13446
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.2,41900,11848
Dell,Notebook,15.6,1366x768,Intel Celeron Dual,2,500GB HDD,Intel HD,Windows,2.2,37900,11719
Dell,Notebook,15.6,1366x768,Intel Celeron Dual,2,500GB HDD,Intel HD,Windows,2.2,37900,9906
Asus,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,27800,13252
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,Windows,1.86,41900,11440
HP,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.4,61500,9961
Dell,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Linux,2.2,27490,9118
Asus,Netbook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.1,24500,12684
Asus,Notebook,14.1,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.65,34800,11024
Asus,Notebook,14,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,29800,13107
Dell,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.26,29500,10804
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,2,64GB Flash Storage,Intel HD,Windows,1.5,22900,13329
Asus,Notebook,15.6,1366x768,Intel Celeron Dual,4,500GB HDD,Intel HD,Windows,2.2,36900,12524
Lenovo,Netbook,11.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,Windows,1.4,47500,11904
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,No OS,1.9,27062,11028
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,2,64GB Flash Storage,Intel HD,Windows,1.5,22900,13902
Lenovo,Notebook,11.6,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Windows,1.15,30445,11044
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,2,64GB Flash Storage,Intel HD,Windows,1.5,22900,12084
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.44,29200,10136
Asus,Notebook,15.6,1920x1080,Intel Celeron Dual,4,1TB HDD,Intel HD,Windows,2,34400,9780
Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.45,45990,11185
Lenovo,Notebook,14,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.43,27400,13297
HP,Notebook,14,1366x768,Intel Celeron Dual,4,32GB SSD,Intel HD,Windows,1.44,22900,13769
Dell,Notebook,15.6,1366x768,Intel Celeron Dual,2,500GB HDD,Intel HD,Windows,2.2,37900,10556
Lenovo,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB SSD,Intel HD,Chrome OS,1.25,26500,9980
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,No OS,1.9,25236,13903
Chuwi,Notebook,12.3,2736x1824,Intel Celeron Quad,6,64GB Flash Storage,Intel HD,Windows,1.4,44900,11204
Acer,2 in 1 Convertible,11.6,1366x768,Intel Celeron Quad,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,37900,9897
Mediacom,Notebook,14,1920x1080,Intel Celeron Quad,4,32GB SSD,Intel HD,Windows,1.45,38900,12153
Lenovo,Notebook,14,1366x768,Intel Celeron Quad,4,16GB Flash Storage,Intel HD,Chrome OS,1.5,32500,12869
Lenovo,Netbook,11.6,1366x768,Intel Celeron Quad,4,128GB SSD,Intel HD,Windows,1.59,55300,13695
Mediacom,Notebook,13.3,1920x1080,Intel Celeron Quad,4,32GB SSD,Intel HD,Windows,1.2,36900,11786
Lenovo,Notebook,15.6,1366x768,Intel Celeron Quad,8,1TB HDD,Intel HD,No OS,2.2,32900,10282
Acer,Notebook,14,1920x1080,Intel Celeron Quad,4,32GB Flash Storage,Intel HD,Windows,1.6,32900,12178
Asus,2 in 1 Convertible,12.5,1920x1080,Intel Core M,8,64GB Flash Storage,Intel HD,Chrome OS,1.2,115900,11831
HP,Ultrabook,12.5,3840x2160,Intel Core M,8,240GB SSD,Intel HD,Windows,1.09,310000,30986
HP,Netbook,12.5,1920x1080,Intel Core M,8,512GB SSD,Intel HD,Windows,0.97,190800,20920
Apple,Ultrabook,12,2304x1440,Intel Core M,8,256GB SSD,Intel HD,macOS,0.92,126240,39659
Asus,Ultrabook,13.3,1920x1080,Intel Core M,8,512GB SSD,Intel HD,Windows,1.2,72900,34024
Dell,2 in 1 Convertible,11.6,1366x768,Intel Core M,4,128GB SSD,Intel HD,Windows,1.39,60300,18279
Asus,2 in 1 Convertible,12.5,1920x1080,Intel Core M,4,64GB Flash Storage,Intel HD,Chrome OS,1.2,66900,25574
Asus,Ultrabook,13.3,1920x1080,Intel Core M,8,512GB SSD,Intel HD,Windows,1.2,72900,16883
Apple,Ultrabook,12,2304x1440,Intel Core M,8,512GB Flash Storage,Intel HD,Mac OS,0.92,127900,38913
HP,Ultrabook,12.5,3840x2160,Intel Core M,8,512GB SSD,Intel HD,Windows,0.97,201400,31905
Apple,Ultrabook,12,2304x1440,Intel Core M,8,256GB Flash Storage,Intel HD,Mac OS,0.92,116300,38531
Apple,Ultrabook,12,2304x1440,Intel Core M,8,256GB Flash Storage,Intel HD,Mac OS,0.92,130000,37219
HP,Notebook,13.3,3200x1800,Intel Core M,8,256GB SSD,Intel HD,Windows,1.16,169900,11425
HP,Ultrabook,13.3,3200x1800,Intel Core M,16,512GB SSD,Intel HD,Windows,1.16,196500,30471
Microsoft,Ultrabook,13.5,2256x1504,Intel Core M,4,128GB SSD,Intel HD,Windows,1.252,98900,14758
Asus,Ultrabook,13.3,1920x1080,Intel Core M,8,512GB SSD,Intel HD,Windows,1.2,72900,21426
Lenovo,Ultrabook,12.5,2560x1440,Intel Core M,8,512GB SSD,Intel HD,Windows,0.99,139900,18171
Lenovo,2 in 1 Convertible,11.3,1920x1080,Intel Core M,8,256GB SSD,Intel HD,Windows,1.1,129900,22708
Apple,Ultrabook,12,2304x1440,Intel Core M,8,512GB Flash Storage,Intel HD,Mac OS,0.92,116500,12006
Acer,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.23,54400,31338
Acer,Notebook,14,1920x1080,Intel Core i3,8,128GB SSD,Intel HD,Windows,1.5,61900,19348
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.9,45000,15557
Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,36700,16279
Lenovo,Notebook,17.3,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.8,52900,18699
Lenovo,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.29,45900,18372
Dell,Notebook,13.3,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.65,68900,18521
Asus,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.37,39899,19700
Dell,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,42800,18404
Asus,Notebook,14,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Windows,2,76900,18930
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.2,57900,22452
Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Nvidia GeForce,Windows,2.2,46900,16393
Acer,Notebook,15.6,1920x1080,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.1,47900,20537
Acer,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.4,49900,16935
Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2,48900,14047
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,46562,18381
HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.07,65000,22074
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.2,46800,22591
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.2,54567,15158
Dell,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.29,49000,15354
Dell,Notebook,15.6,1366x768,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.3,45900,22791
Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.4,45000,16583
Acer,Notebook,14,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.8,63600,18244
HP,Notebook,17.3,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Windows,2.5,69900,21298
HP,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.1,70550,14543
Dell,Notebook,15.6,1366x768,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.3,45900,16605
HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.86,39700,21372
Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2,66900,20068
Asus,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Linux,2,38900,16555
HP,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.1,49900,17241
HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.1,66848,21231
Asus,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2,43500,18071
Asus,Notebook,14,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.3,50900,17883
HP,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,No OS,1.86,34599,18384
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.18,46500,21986
Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.4,41080,16277
Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.3,41864,19663
HP,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows,2.1,71600,18245
Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.2,40900,14545
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,36900,15935
HP,Notebook,15.6,1366x768,Intel Core i3,4,256GB SSD,Intel HD,Windows,2.04,76999,17896
HP,Notebook,13.3,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.49,80000,21355
Dell,2 in 1 Convertible,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.08,79599,15528
Lenovo,Notebook,14,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.7,59900,20755
Asus,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Linux,2,41500,22752
Dell,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.18,54700,16699
Dell,Ultrabook,12.5,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.5,116697,16536
HP,Notebook,14,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.64,68400,22622
HP,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.86,46900,21500
Lenovo,Notebook,13.3,1920x1080,Intel Core i3,8,256GB SSD,Intel HD,Windows,1.4,94900,21346
HP,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.1,46900,18395
Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,Windows,2.3,56500,14493
